Supplier,Invoice Number,Invoice Date,Due Date,Account Number,Bill To,Item #,Product Code,Item Description,Qty,Unit,Unit Rate (£),VAT %,VAT Amount (£),Line Total (£)
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,28,,Milk Cake Tray (Pistachio),2,Box,20.00,0.00,0.00,40.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,29,,Milk Cake Tray (Vanilla),2,pcs,20.00,0.00,0.00,40.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,30,,Movenpick Mint Chocolate Ice Cream,1,ltr,16.50,20.00,3.30,16.50
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,31,,Movenpick Strawberry Ice Cream,2,ltr,30.00,20.00,12.00,60.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,32,,Movenpick Swiss Chocolate Ice Cream,2,Pcs,30.00,20.00,12.00,60.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,33,,Movenpick Vanilla Dream Ice Cream,1,ltr,30.00,20.00,6.00,30.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,34,,Gelato Oblast (Cookie & Cream Gelato) 5LTR,1,Box,22.00,20.00,4.40,22.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,35,,Original Malai Kulfi Ice Cream,1,ltr,19.00,20.00,3.80,19.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,36,,Churros,2,Box,18.00,0.00,0.00,36.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,37,,Matcha Powder (Ceremonial Grade) 250g,1,g,38.40,0.00,0.00,38.40
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,38,,Monin Syrup - Blue Curacao,1,Pcs,8.00,0.00,0.00,8.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,39,,Monin Syrup - Passion,2,pcs,8.00,0.00,0.00,16.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,40,,Monin Syrup - Pomegranate,1,Pcs,8.00,0.00,0.00,8.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,41,,Monin Syrup - Strawberry,1,Pcs,8.00,0.00,0.00,8.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,42,,12oz Pet Glass & Lids,1,Box,89.99,20.00,18.00,89.99
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,43,,750ml Round Bowls & Lids (300),1,Box,44.99,20.00,9.00,44.99
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,44,,Bags 22x12x34 Small (250),1,Box,39.99,20.00,8.00,39.99
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,45,,Bags 27x17x37.5 Medium (250),2,Box,44.99,20.00,18.00,89.98
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,46,,Printed Pizza Boxes (100pcs),3,Box,19.99,20.00,11.99,59.97
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,47,,Tea Cups (8oz) (100pcs),1,Box,9.99,20.00,2.00,9.99
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,48,,Bagel Chicken (2kg),1,kg,18.00,0.00,0.00,18.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,49,,(Pasta) Crispy Chicken Fillet,3,Pcs,10.00,0.00,0.00,30.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,50,,RED Pasta Sauce (3 kg),1,Kg,20.00,0.00,0.00,20.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,51,,WHITE Pasta Sauce (3 kg),1,Kg,20.00,0.00,0.00,20.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,52,,Noodle Sauce (3kg),2,Kg,20.00,0.00,0.00,40.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,53,,Belcolade Chocolate White (15KG),1,box,148.99,-,-,148.99
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,54,,Tiramisu Pudding - 30 pieces,1,Box,60.00,0.00,0.00,60.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,55,,Butter Chicken (3kg),1,kg,28.00,0.00,0.00,28.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,56,,Breaded Chicken Frites (Chicken Mountain),2,Pcs,10.00,0.00,0.00,20.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,57,,Ferrero Rocher (Case of 48),1,box,15.50,20.00,3.10,15.50
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,58,,Crunchie (48 bar / 40 bar),1,Pcs,24.00,20.00,4.80,24.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,59,,Aero Mint (pack of 24),1,Box,12.99,20.00,2.60,12.99
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,60,,Kinder Chocolate Medium Bar,1,Box,12.00,20.00,2.40,12.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,61,,Chicken Momos,1,Box,150.00,0.00,0.00,150.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,62,,Krunch Cake (24 Pcs),1,Box,95.00,0.00,0.00,95.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,63,,Peach Smoothie Mix (case of 8),1,Box,73.00,0.00,0.00,73.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,64,,5.5oz Cups & Lids (whippy) (2500),1,Box,104.99,20.00,21.00,104.99
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,65,,A2 Poster – Crunch cake,1,Box,21.00,20.00,4.18,21.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,INVOICE TOTAL,,Sub Total £4105.35 | Zero Rate (0%) £0.00 | Standard Rate (20%) £212.95 | Total £4318.30 | Balance Due £4318.30,,,,,212.95,4318.30
Makro Self Service Wholesalers Ltd (Cardiff Branch 588),3580431,27/03/2026,27/03/2026,737087015 / XTAW00000I02869,CHOCOBERRY CARDIFF - City Road Cardiff CF24 3JD,1,254374,Carters Royal Soda Water 12x1ltr,2,12x1ltr,7.59,A - Zero,0.00,15.18
Makro Self Service Wholesalers Ltd (Cardiff Branch 588),3580431,27/03/2026,27/03/2026,737087015 / XTAW00000I02869,CHOCOBERRY CARDIFF - City Road Cardiff CF24 3JD,2,180805,Ice Valley Still Spring Water 24x500ml,5,24x500ml,2.99,B - Std,0.65,14.95
Makro Self Service Wholesalers Ltd (Cardiff Branch 588),3580431,27/03/2026,27/03/2026,737087015 / XTAW00000I02869,CHOCOBERRY CARDIFF - City Road Cardiff CF24 3JD,3,318415,18 Brioche Burger Buns 10x4pk,1,10x4pk,10.49,A - Zero,0.00,10.49
Makro Self Service Wholesalers Ltd (Cardiff Branch 588),3580431,27/03/2026,27/03/2026,737087015 / XTAW00000I02869,CHOCOBERRY CARDIFF - City Road Cardiff CF24 3JD,4,162218,Monin Caramel Syrup 1ltr,1,1ltr,10.99,A - Zero,0.00,10.99
Makro Self Service Wholesalers Ltd (Cardiff Branch 588),3580431,27/03/2026,27/03/2026,737087015 / XTAW00000I02869,CHOCOBERRY CARDIFF - City Road Cardiff CF24 3JD,5,275006,Gelart Toffee Dessert Sauce 1kg,1,1kg,4.49,A - Zero,0.00,4.49
Makro Self Service Wholesalers Ltd (Cardiff Branch 588),3580431,27/03/2026,27/03/2026,737087015 / XTAW00000I02869,CHOCOBERRY CARDIFF - City Road Cardiff CF24 3JD,6,303698,GF Super Crispy Fries 4x2.5kg,2,4x2.5kg,16.99,A - Zero,0.00,33.98
Makro Self Service Wholesalers Ltd (Cardiff Branch 588),3580431,27/03/2026,27/03/2026,737087015 / XTAW00000I02869,CHOCOBERRY CARDIFF - City Road Cardiff CF24 3JD,7,305852,CTS KraftFoodBox 4Lid 1500ml 5x36s,1,5x36s,53.99,B - Std,0.00,53.99
Makro Self Service Wholesalers Ltd (Cardiff Branch 588),3580431,27/03/2026,27/03/2026,737087015 / XTAW00000I02869,CHOCOBERRY CARDIFF - City Road Cardiff CF24 3JD,8,209225,2C Ply Blue Centrefeed 1x6pk,3,1x6pk,5.99,B - Std,0.00,17.97
Makro Self Service Wholesalers Ltd (Cardiff Branch 588),3580431,27/03/2026,27/03/2026,737087015 / XTAW00000I02869,CHOCOBERRY CARDIFF - City Road Cardiff CF24 3JD,INVOICE TOTAL,,Total Items 17 | Goods A Zero £70.94 VAT £0.00 | Goods B 20% £102.09 VAT £20.42 | Invoice Total £193.45 | Club Promotions Saved £3.00,,,,,20.42,193.45
Ampulla Ltd,1054155,17/02/2025,17/02/2025,Order 1054155 / VAT 935768183,Awais Tahir - Chocoberry Cardiff - 205 City Road Cardiff CF24 3JD,1,G250MLCJSURP-GCAPARTOG,250ml Tall Glass Juice Bottle & Twist Off Cap (Suresluk) – Gold,50,Each,0.46,20.00,,23.00
Ampulla Ltd,1054155,17/02/2025,17/02/2025,Order 1054155 / VAT 935768183,Awais Tahir - Chocoberry Cardiff - 205 City Road Cardiff CF24 3JD,2,F4LNICTUB-F2/4LNICLID,4ltr Natural Ice Cream Tub With Lid (IP),40,Each,1.40,20.00,,56.00
Ampulla Ltd,1054155,17/02/2025,17/02/2025,Order 1054155 / VAT 935768183,Awais Tahir - Chocoberry Cardiff - 205 City Road Cardiff CF24 3JD,3,,Shipping,1,,15.30,20.00,,15.30
Ampulla Ltd,1054155,17/02/2025,17/02/2025,Order 1054155 / VAT 935768183,Awais Tahir - Chocoberry Cardiff - 205 City Road Cardiff CF24 3JD,INVOICE TOTAL,,Subtotal £79.00 | Shipping £15.30 | VAT £15.71 (20%) | Total £94.30 | Paid by Credit/Debit Card,,,,,15.71,94.30
Amazon Business (Amazon Business EU S.a.r.l. UK Branch),GB62JHW0ABEI,18/03/2026,18/03/2026,Order 205-4698432-1261129 / VAT GB305634227,Akhil Rajesh - 192 City Rd Cardiff CF24 3JF,1,B009BQ2QZG,Genware SPF18-W Royal White Round Eared Dish 18cm Diameter Pack of 6,1,Pack,25.79,20.00,5.16,30.95
Amazon Business (Amazon Business EU S.a.r.l. UK Branch),GB62JHW0ABEI,18/03/2026,18/03/2026,Order 205-4698432-1261129 / VAT GB305634227,Akhil Rajesh - 192 City Rd Cardiff CF24 3JF,INVOICE TOTAL,,Invoice Total £30.95 | VAT 20% £5.16 | Total Payable £30.95 | PAID | Order Date 15 Mar 2026,,,,,5.16,30.95
Alliance Disposables Ltd,I13474724,11/03/2026,30 days,IWM0C258 / Order SO/W11797583,Chocoberry Cardiff 1 Ltd - 205 City Road Cardiff CF24 3JD,1,CDCS0001,Flash Prof C5 Conc Disinfecting Cleaner 2x2Ltr (Maxoptra04),1,2x2Ltr,70.25,20.00,14.05,84.30
Alliance Disposables Ltd,I13474724,11/03/2026,30 days,IWM0C258 / Order SO/W11797583,Chocoberry Cardiff 1 Ltd - 205 City Road Cardiff CF24 3JD,INVOICE TOTAL,,Goods £70.25 | VAT £14.05 | Carriage £0.00 | Invoice Total £84.30 | Standard VAT Rate 20%,,,,,14.05,84.30
Abbey Bookbinding & Printing Ltd,14087,,01/12/2025,09083825,Chocoberry - Cardiff,1,,Chocoberry Laminated Posters 300gsm Silk Matt Laminated Both Sides,20,Each,1.50,20.00,6.00,30.00
Abbey Bookbinding & Printing Ltd,14087,,01/12/2025,09083825,Chocoberry - Cardiff,INVOICE TOTAL,,Subtotal £30.00 | Total VAT 20% £6.00 | Total GBP £36.00 | Due Date 1 Dec 2025,,,,,6.00,36.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,1,,Krunch Cake (24 Pcs),3.00,Pcs,95.00,0.00,0.00,285.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,2,,Chocoberry Belgian Style Luxury Waffle Mix,3.00,Box,45.00,0.00,0.00,135.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,3,,Chocoberry Tea Blend (Pack of 10),2.00,Box,59.99,0.00,0.00,119.98
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,4,,Choco Puff Powder (HQ),14.00,Box,4.00,0.00,0.00,56.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,5,,Comelle Ice Cream Mix,15.00,ltr,20.99,20.00,62.97,314.85
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,6,,Crep Mix Powder (HQ),5.00,Box,5.00,0.00,0.00,25.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,7,,Kanafeh (25pcs),5.00,Box,57.50,0.00,0.00,287.50
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,8,,Belcolade Chocolate Milk (15 KG),1.00,Box,148.99,0.00,0.00,148.99
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,9,,Nutella (2x3Kg),2.00,kg,37.99,0.00,0.00,75.98
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,10,,Pistachio Knafeh Mix Tub,1.00,kg,69.00,0.00,0.00,69.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,11,,Custard (1 ltr) Qty:12,1.00,Box,25.00,0.00,0.00,25.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,12,,OREO Biscuit,1.00,Box,15.00,0.00,0.00,15.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,13,,Spray and Cook (Cooking Spray),2.00,Pcs,8.00,0.00,0.00,16.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,14,,Chocolate Dream Cake,24.00,Pcs,2.95,0.00,0.00,70.80
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,15,,Banana Pudding (30 Pcs),2.00,Box,60.00,0.00,0.00,120.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,16,,Lazy Cat Cake (20pcs),1.00,Pcs,79.00,0.00,0.00,79.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,17,,Lazy Cat Cake Topping (Ambient - HQ) Pack-4,1.00,Pcs,16.00,0.00,0.00,16.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,18,,SMALL - Knafeh Chocolate Bar 24 pcs - 1 BOX,1.00,Box,90.00,0.00,0.00,90.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,19,,Pistachio Chocolate Kanafeh Dream Cake,15.00,Box,3.50,0.00,0.00,52.50
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,20,,Molten Chocolate Cake (Lava Cake),1.00,Box,23.00,0.00,0.00,23.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,21,,Chocolate Fudge Fixation,1.00,Box,25.00,0.00,0.00,25.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,22,,Bramley Apple Crumbles,2.00,Box,23.00,0.00,0.00,46.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,23,,Lotus Biscoff Cheesecake,2.00,Box,42.00,0.00,0.00,84.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,24,,Milk Chocolate Lindt Cheesecake,1.00,Box,45.00,0.00,0.00,45.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,25,,Pistachio Kanafeh Cheesecake (12pcs),1.00,Box,32.00,0.00,0.00,32.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,26,,Tiramisu Pudding - 30 pieces,1.00,Box,60.00,0.00,0.00,60.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,27,,Milk Cake Tray (Biscoff),6.00,Box,20.00,0.00,0.00,120.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,28,,Milk Cake Tray (Oreo),2.00,Pcs,20.00,0.00,0.00,40.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,29,,Movenpick Swiss Chocolate Ice Cream,2.00,Pcs,30.00,20.00,12.00,60.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,30,,Movenpick Vanilla Dream Ice Cream,3.00,ltr,30.00,20.00,18.00,90.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,31,,Mango Kulfi Ice Cream,3.00,ltr,19.00,20.00,11.40,57.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,32,,Original Malai Kulfi Ice Cream,2.00,ltr,19.00,20.00,7.60,38.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,33,,Matcha Powder (Ceremonial Grade) 250g,1.00,g,38.40,0.00,0.00,38.40
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,34,,Strawberry Smoothie Mix (case of 8),1.00,Box,73.00,0.00,0.00,73.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,35,,1300ml Round Bowls & Lids (300),1.00,Box,69.99,20.00,14.00,69.99
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,36,,Bags 22x12x34 Small (250),2.00,Box,39.99,20.00,16.00,79.98
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,37,,Printed Boats & Sleeves (400pcs),1.00,Box,69.99,20.00,14.00,69.99
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,38,,Tea Cups (8oz) (100pcs),2.00,Box,9.99,20.00,4.00,19.98
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,39,,Printed Pizza Boxes (100pcs),2.00,Box,19.99,20.00,8.00,39.98
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,40,,Tissues Printed (2000pcs),1.00,Box,28.99,20.00,5.80,28.99
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,41,,Blue Roles - High Quality (6 Pcs),3.00,Pcs,11.50,20.00,6.90,34.50
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,42,,(Pasta) Crispy Chicken Fillet,4.00,Pcs,10.00,0.00,0.00,40.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,43,,Armaan Catering Chicken Sausages,1.00,Box,44.50,0.00,0.00,44.50
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,44,,Bagel Chicken (2kg),2.00,kg,18.00,0.00,0.00,36.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,45,,Breaded Chicken Frites (Chicken Mountain),3.00,Pcs,10.00,0.00,0.00,30.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,46,,Butter Chicken (3kg),1.00,kg,28.00,0.00,0.00,28.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,47,,Hash Browns,2.00,Box,25.00,0.00,0.00,50.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,48,,Hot & Spicy Zinger (Patty),6.00,Pcs,10.00,0.00,0.00,60.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,49,,RED Pasta Sauce (3 kg),1.00,kg,20.00,0.00,0.00,20.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,50,,WHITE Pasta Sauce (3 kg),2.00,kg,20.00,0.00,0.00,40.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,51,,Fire Cracker Sauce (3kg),1.00,kg,20.00,0.00,0.00,20.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,52,,Noodle Sauce (3kg),1.00,kg,20.00,0.00,0.00,20.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,53,,Belcolade Chocolate White (15KG),1.00,Box,148.99,0.00,0.00,148.99
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,54,,Strawberry Glazed Cheesecake,1.00,Box,42.00,0.00,0.00,42.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,55,,750ml Round Bowls & Lids (300),1.00,Box,44.99,20.00,8.98,44.99
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,56,,Lotus Sauce (Case of 4),1.00,ml,38.00,0.00,0.00,38.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,57,,Lotus Biscoff,1.00,Box,15.00,0.00,0.00,15.00
Cr8 Foods Ltd,INV-000265,02/04/2026,02/04/2026,SO-00247,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,INVOICE TOTAL,,Sub-Total £3853.89 | Zero Rate (0%) £0.00 | Standard Rate (20%) £189.65,,,,,,189.65
