Category,Item Name,Price,Description,Options/Variants,Option Prices
Light Bites,Chicken Dynamite,£7.95,"Chicken Dynamite: bite-sized chunks of chicken, crispily fried and tossed in a spicy sauce, served with salad and topped with sesame seed fresh cut vegetables. A delectable dish for spice lovers!",,
Light Bites,Chop Chop,£19.95,Grilled lamb chops marinated with herbs and spices,served with house made fresh mint chutney,
Light Bites,Grilled Chicken Salad,£19.95,"A delicious mix of freshly grilled chicken breast, crisp lettuce, crunchy walnuts, pumpkin seeds, sliced avocado and mixed berries. A healthy and nutritious meal, perfect for lunch or dinner",,
Light Bites,Humus & Salad,£6.45,Our signature dish featuring creamy hummus served with a hearty salad alongside toasted bread,,
Light Bites,Humus And Falafel,£7.95,Satisfy your Mediterranean cravings with our house-made hummus and falafel and fresh salad alongside toasted bread,,
Light Bites,Momo's,£12.95,"Delicious dumplings filled with a savoury mixture of vegetable and spices, served with a side of homemade dipping sauce",Veg Or Chicken?: Chicken | Veg,£0.00 | £0.00
Light Bites,Spring Rolls (Veg),£5.95,"Golden, crispy vegetable spring rolls filled with a savory mix of vegetables and spices",,
Light Bites,Chicken Samosa,£5.95,"Golden, flaky pastry filled with tender chicken, seasoned potatoes, and a medley of vegetables",,
Light Bites,Seasoned Chips,£3.95,Crispy rustic chips perfect for dipping or for a light snack,,
Light Bites,Masala Chips,£4.95,Crunchy chips flavored with our special homemade sauce topped with spring onions,,
Matcha Range,Iced Strawberry Matcha Latte,£5.45,"Refreshing and indulgent, our iced strawberry matcha latte is a perfect blend of antioxidant-rich matcha tea and sweet strawberry flavor. Made with creamy oat milk for a dairy-free treat that is as delicious as it is good for you",Milk Alternatives: Soya Milk | Oat Milk | Almond Milk | Coconut Milk,£0.00 | £0.00 | £0.00 | £0.00
Matcha Range,Iced Vanilla Matcha Latte,£5.45,"A refreshing and smooth blend of antioxidant-rich matcha green tea and creamy vanilla oat milk, served over ice for a revitalizing pick-me-up. A delicious and energizing beverage to fuel your day",,
Matcha Range,Iced Mango Matcha Latte,£5.45,"Introducing our refreshing iced mango matcha latte, made with oat milk for a creamy dairy-free treat. Cool off with the perfect blend of bright mango and earthy matcha flavors in every sip",,
Matcha Range,Vanilla Matcha Latte (Hot),£3.85,Indulge in the smooth and creamy combination of vanilla-infused oat milk and vibrant matcha green tea. A delightful and energizing twist on a classic latte,,
Mocktails,Lemon Mocktail,£5.45,"A refreshing blend of zesty lemon, tangy lime, and aromatic mint, topped with fizzy soda for the perfect balance of citrus and refreshment in every sip!",,
Mocktails,Strawberry Mocktail,£5.45,"Enjoy the fizzy strawberry mojito — a sweet and refreshing fusion of strawberries, fresh mint, and lemon, perfectly balanced for a fruity twist on a classic!",,
Mocktails,Passion Fruit Mocktail,£5.45,"A tropical escape in every sip! Enjoy the goodness of passion fruit, fresh mint, and zesty lemon, creating a refreshingly vibrant mojito",,
Mocktails,Blue Hawaiian Mocktail,£5.45,"Escape to beach paradise with our Blue Hawaiian mojito! A tropical blend of sweet coconut, blue curacao syrup, and a touch of citrus, offering a refreshing, beachy vibe in every sip",,
Mocktails,Pomegranate Mocktail,£5.45,"A perfect blend of pomegranate, fresh mint, and zesty lime, topped with a splash of soda for a vibrant, fruity twist on the classic mojito",,
Mocktails,Rose & Lychee Mojito Mocktail,£5.45,"A refreshing and fragrant mocktail mojito, combining the floral notes of rose with the sweet essence of lychee, topped with soda and finished with a hint of mint for a beautifully balanced, exotic twist!",,
Mocktails,Berry Nice Mocktail,£5.45,"A unique and exotic twist on the classic mojito! Infused with the rich, sweet flavour of berries, combined with fresh mint, lime, and a splash of soda for a refreshing, fruity experience unlike any other",,
Fresh Juices,Fresh Orange Juice,£4.95,Our house-made cold-pressed orange juice,full of real orange bits,
Shakes & Ice Coolers,Frozen Peach,£5.45,"Cool off with our Frozen Peach, a refreshing iced drink made with real peach fruit crushed with ice. Enjoy the sweet and juicy flavor of peaches in every sip",,
Shakes & Ice Coolers,Mango & Passion Fruit Breeze,£5.45,"Indulge in the tropical flavors of our refreshing Mango & Passion Fruit Breeze. This icy drink is made with sweet and tangy mango and passion fruit flavors, blended together for a deliciously fruity treat",,
Shakes & Ice Coolers,Luxury Shakes,£5.95,"Indulge in our creamy, rich ice cream shakes — thick, luscious, and packed with flavor. Made with premium ice cream and blended to perfection for a deliciously smooth and satisfying treat in every sip!",Milk Shakes: Kinder Bueno | Kinder Bueno White | Terry's Chocolate Orange | Kit Kat | Snickers,£0.00 | £0.00 | £0.00 | £0.00 | £0.00
Coffee,Cappuccino,£3.85,"A classic blend of rich espresso, creamy steamed milk, and frothy foam for a perfectly balanced, smooth cup",Enhance Your Drink: Vanilla Syrup | Caramel Syrup | Hazelnut Syrup | Whipped Cream | Marshmallow || Milk Alternatives?: Oat Milk | Coconut Milk | Almond Milk | Soya Milk,£0.50 | £0.50 | £0.50 | £0.50 | £0.50 || £0.50 | £0.50 | £0.50 | £0.00
Coffee,Latte,£3.85,"A smooth and creamy blend of rich espresso and steamed milk, finished with a light layer of foam for a perfectly balanced, soothing cup",Enhance Your Drink: Vanilla Syrup | Caramel Syrup | Hazelnut Syrup | Whipped Cream | Marshmallow || Milk Alternatives?: Oat Milk | Coconut Milk | Almond Milk | Soya Milk,£0.50 | £0.50 | £0.50 | £0.50 | £0.50 || £0.50 | £0.50 | £0.50 | £0.00
Coffee,Mocha,£4.25,"A delicious fusion of rich espresso, rich chocolate, and steamed milk, topped with a touch of foam for a sweet and indulgent treat in every sip",Enhance Your Drink: Vanilla Syrup | Caramel Syrup | Hazelnut Syrup | Whipped Cream | Marshmallow || Milk Alternatives?: Oat Milk | Coconut Milk | Almond Milk | Soya Milk,£0.50 | £0.50 | £0.50 | £0.50 | £0.50 || £0.50 | £0.50 | £0.50 | £0.00
Coffee,White Mocha,£4.25,"A creamy blend of rich espresso, rich white chocolate, and steamed milk, topped with a light foam for a sweet and indulgent twist on the classic mocha",Enhance Your Drink: Vanilla Syrup | Caramel Syrup | Hazelnut Syrup | Whipped Cream | Marshmallow || Milk Alternatives?: Oat Milk | Coconut Milk | Almond Milk | Soya Milk,£0.50 | £0.50 | £0.50 | £0.50 | £0.50 || £0.50 | £0.50 | £0.50 | £0.00
Coffee,Flat White,£3.95,"A smooth, velvety espresso with steamed milk, topped with a thin layer of microfoam for a creamy, rich taste that's full of flavor and perfectly balanced",Enhance Your Drink: Vanilla Syrup | Caramel Syrup | Hazelnut Syrup | Whipped Cream | Marshmallow || Milk Alternatives?: Oat Milk | Coconut Milk | Almond Milk | Soya Milk,£0.50 | £0.50 | £0.50 | £0.50 | £0.50 || £0.50 | £0.50 | £0.50 | £0.00
Coffee,Americano (Black),£3.25,"A simple yet bold blend of rich espresso and hot water, creating a smooth, full-bodied coffee with a clean, robust flavor. Perfect for those who appreciate the purity of espresso",Enhance Your Drink: Vanilla Syrup | Caramel Syrup | Hazelnut Syrup | Whipped Cream | Marshmallow || Milk Alternatives?: Oat Milk | Coconut Milk | Almond Milk | Soya Milk,£0.50 | £0.50 | £0.50 | £0.50 | £0.50 || £0.50 | £0.50 | £0.50 | £0.00
Coffee,Double Espresso,£2.50,"A bold, concentrated shot of rich espresso, delivering twice the intensity and flavor in every sip. Perfect for those who crave a strong, pure coffee experience",Enhance Your Drink: Vanilla Syrup | Caramel Syrup | Hazelnut Syrup | Whipped Cream | Marshmallow || Milk Alternatives?: Oat Milk | Coconut Milk | Almond Milk | Soya Milk,£0.50 | £0.50 | £0.50 | £0.50 | £0.50 || £0.50 | £0.50 | £0.50 | £0.00
Indulgent Hot Chocolates,Hot Chocolate,£4.25,"Our hot chocolate is a rich, velvety blend of premium cocoa and milk, creating a smooth, indulgent treat that's perfectly sweet and comforting",Enhance Your Breakfast: Hash Brown | Potato Puffs | Scrambled Egg | Fried Egg | Omelette || Milk Alternatives?: Oat Milk | Coconut Milk | Almond Milk | Soya Milk,£2.50 | £2.50 | £3.50 | £3.50 | £5.00 || £0.50 | £0.50 | £0.50 | £0.00
Indulgent Hot Chocolates,Ruby Hot Chocolate,£4.25,"Ruby hot chocolate combines smooth milk with velvety chocolate, creating a rich, sweet flavor with a hint of berry tang. Its stunning pink hue and indulgent taste make it a standout treat",,
Indulgent Hot Chocolates,Pistachio Hot Chocolate,£4.55,"Indulge in our luxurious pistachio hot chocolate, featuring velvety white chocolate blended with rich pistachio cream. Finished with a sprinkle of crunchy pistachio nuts for an irresistible treat",,
Indulgent Hot Chocolates,White Hot Chocolate,£4.25,"Our white hot chocolate is a creamy, indulgent blend of rich white chocolate and smooth milk, offering a sweet, velvety treat that is perfect for any occasion",Enhance Your Drink: Vanilla Syrup | Caramel Syrup | Hazelnut Syrup | Whipped Cream | Marshmallow || Milk Alternatives?: Oat Milk | Coconut Milk | Almond Milk | Soya Milk,£0.50 | £0.50 | £0.50 | £0.50 | £0.50 || £0.50 | £0.50 | £0.50 | £0.00
Speciality Lattes,Luna Latte,£4.55,A stunning aqua-blue latte with delicate flavor notes of sweet honey and maple syrup. A visually striking and deliciously smooth experience in every sip!,Enhance Your Drink: Vanilla Syrup | Caramel Syrup | Hazelnut Syrup | Whipped Cream | Marshmallow || Milk Alternatives?: Oat Milk | Coconut Milk | Almond Milk | Soya Milk,£0.50 | £0.50 | £0.50 | £0.50 | £0.50 || £0.50 | £0.50 | £0.50 | £0.00
Speciality Lattes,Red Velvet Latte,£4.55,"A deep red latte with rich, smooth velvet texture and subtle cocoa undertones. A luxurious and comforting drink that's as bold in flavour as it is in colour",Enhance Your Drink: Vanilla Syrup | Caramel Syrup | Hazelnut Syrup | Whipped Cream | Marshmallow || Milk Alternatives: Soya Milk | Oat Milk | Almond Milk | Coconut Milk,£0.50 | £0.50 | £0.50 | £0.50 | £0.50 || £0.00 | £0.00 | £0.00 | £0.00
Speciality Lattes,Spiced Chai Latte,£4.25,"A warm and comforting blend of bold black tea, aromatic spices, and steamed milk, creating the perfect balance of sweet and spicy",Enhance Your Drink: Vanilla Syrup | Caramel Syrup | Hazelnut Syrup | Whipped Cream | Marshmallow || Milk Alternatives: Soya Milk | Oat Milk | Almond Milk | Coconut Milk,£0.50 | £0.50 | £0.50 | £0.50 | £0.50 || £0.00 | £0.00 | £0.00 | £0.00
Speciality Lattes,Tiramisu Latte,£5.55,"Every sip is like a little piece of tiramisu in a cup! Rich espresso, creamy steamed milk, a hint of cocoa, sweet vanilla, and mascarpone, all topped with a dusting of cocoa powder for the perfect indulgence",Enhance Your Drink: Vanilla Syrup | Caramel Syrup | Hazelnut Syrup | Whipped Cream | Marshmallow || Milk Alternatives?: Oat Milk | Coconut Milk | Almond Milk | Soya Milk,£0.50 | £0.50 | £0.50 | £0.50 | £0.50 || £0.50 | £0.50 | £0.50 | £0.00
Speciality Lattes,Spanish Latte,£4.55,"A smooth blend of rich espresso, creamy steamed milk, and sweetened condensed milk for a perfectly indulgent flavor",,
Speciality Lattes,Pistachio Latte,£4.85,"Indulge in the rich and nutty flavor of our pistachio latte, made with smooth espresso and steamed milk",Enhance Your Drink: Vanilla Syrup | Caramel Syrup | Hazelnut Syrup | Whipped Cream | Marshmallow || Milk Alternatives?: Oat Milk | Coconut Milk | Almond Milk | Soya Milk,£0.50 | £0.50 | £0.50 | £0.50 | £0.50 || £0.50 | £0.50 | £0.50 | £0.00
Iced Lattes (Espresso Based),Iced Latte,£4.95,"A refreshing blend of smooth espresso and chilled milk, served over ice for the perfect balance of bold and creamy. Cool, energizing, and utterly satisfying in every sip!",Enhance Your Drink: Vanilla Syrup | Caramel Syrup | Hazelnut Syrup | Whipped Cream | Marshmallow || Milk Alternatives?: Oat Milk | Coconut Milk | Almond Milk | Soya Milk,£0.50 | £0.50 | £0.50 | £0.50 | £0.50 || £0.50 | £0.50 | £0.50 | £0.00
Iced Lattes (Espresso Based),Iced Spanish Latte,£5.45,"A smooth, creamy blend of espresso, sweetened condensed milk, and chilled milk, served over ice for a rich, sweet, and indulgent treat with a Spanish twist!",Enhance Your Drink: Vanilla Syrup | Caramel Syrup | Hazelnut Syrup | Whipped Cream | Marshmallow || Milk Alternatives?: Oat Milk | Coconut Milk | Almond Milk | Soya Milk,£0.50 | £0.50 | £0.50 | £0.50 | £0.50 || £0.50 | £0.50 | £0.50 | £0.00
Iced Lattes (Espresso Based),Iced Mocha,£5.50,"Rich espresso blended with chocolate and chilled milk, served over ice for a perfectly sweet and refreshing treat!",Enhance Your Drink: Vanilla Syrup | Caramel Syrup | Hazelnut Syrup | Whipped Cream | Marshmallow || Milk Alternatives?: Oat Milk | Coconut Milk | Almond Milk | Soya Milk,£0.50 | £0.50 | £0.50 | £0.50 | £0.50 || £0.50 | £0.50 | £0.50 | £0.00
Iced Lattes (Espresso Based),Iced Pistachio Latte,£5.95,"Made with our famous pistachio sauce, this creamy, nutty iced latte combines chilled espresso and milk for a refreshing, indulgent treat that is as smooth as it is delicious!",Enhance Your Drink: Vanilla Syrup | Caramel Syrup | Hazelnut Syrup | Whipped Cream | Marshmallow || Milk Alternatives?: Oat Milk | Coconut Milk | Almond Milk | Soya Milk,£0.50 | £0.50 | £0.50 | £0.50 | £0.50 || £0.50 | £0.50 | £0.50 | £0.00
Iced Lattes (Espresso Based),Iced Tiramisu Latte,£5.45,"A velvety blend of espresso, creamy milk, and hints of cocoa and mascarpone, served over ice. Topped with a dusting of cocoa powder and a ladyfinger biscuit for the perfect tiramisu-inspired treat",Enhance Your Drink: Vanilla Syrup | Caramel Syrup | Hazelnut Syrup | Whipped Cream | Marshmallow || Milk Alternatives?: Oat Milk | Coconut Milk | Almond Milk | Soya Milk,£0.50 | £0.50 | £0.50 | £0.50 | £0.50 || £0.50 | £0.50 | £0.50 | £0.00
Iced Lattes (Non-Coffee),Iced Matcha Latte,£3.45,A refreshing iced non-coffee latte for the perfect refreshment,Milk Alternatives: Soya Milk | Oat Milk | Almond Milk | Coconut Milk,£0.00 | £0.00 | £0.00 | £0.00
Karak Chai & Herbal Teas,Karak Chai,£3.45,"A flavorful, aromatic blend of freshly brewed tea, rich spices, and creamy milk — crafted with love and using only the finest, freshest ingredients. This traditional favourite is sure to warm your heart with every sip!",Add Flavours: Saffron | Cinnamon || Upgrade To Large: Large,£0.50 | £0.50 || £0.50
Karak Chai & Herbal Teas,Teas,£2.95,"Savor the soothing flavors of herbal teas, blended with fresh, organic ingredients to nourish your body and soul","Select Hot Drink: English Tea | Decaf English Tea | Green Tea | Mint Tea | Organic Lemon, Ginger & Manuka Honey",£3.00 | £3.00 | £3.00 | £3.00 | £3.00
Soft Drinks,J20 Apple & Raspberry,£2.95,,,
Soft Drinks,J20 Apple & Mango,£2.95,,,
Soft Drinks,J20 Orange & Passion,£2.95,,,
Soft Drinks,Irn Bru,£2.95,,,
Soft Drinks,Green Cola,£2.25,,,
Soft Drinks,Green Lemonade,£2.25,,,
Soft Drinks,Irn Bru (Sugar Free),£2.20,,,
Soft Drinks,Rubicon Passion,£2.25,,,
Soft Drinks,Rubicon Mango,£2.25,,,
Soft Drinks,Rubicon Guava,£2.25,,,
Soft Drinks,Spring Still Water,£2.45,,,
Soft Drinks,Sparkling Water,£2.45,,,
